t,x,cp,cn,phi
0.01,0.79,0.9915038119707458,1.0072309268022117,0.28923201633461204
0.01,0.8,0.9900787085507013,1.008538666640159,0.299213470964419
0.01,0.81,0.9884590041763807,1.0100445828824338,0.3091967676897213
0.01,0.8200000000000001,0.9866258957564797,1.0117716001580992,0.31918221866190194
0.01,0.8300000000000001,0.98455996115753,1.0137441357152561,0.3291701794630074
0.01,0.84,0.9822413139048727,1.015988028278447,0.339161053492124
0.01,0.85,0.9796497800756397,1.0185304407984574,0.3491552965408322
0.01,0.86,0.976765095676676,1.0213997368363756,0.35915342153031066
0.01,0.87,0.9735671221142109,1.0246253309974578,0.3691560033779596
0.01,0.88,0.9700360766925495,1.0282375145530096,0.3791636839569981
0.01,0.89,0.9661527744517873,1.0322672581381702,0.38917717710848865
0.01,0.9,0.9618988770954395,1.0367459941650958,0.3991972736618053
0.01,0.91,0.95725714429298,1.041705382317408,0.4092248464168109
0.01,0.92,0.9522116822924503,1.0471770621646763,0.41926085503906846
0.01,0.93,0.9467481845641423,1.0531923975271964,0.42930635081838675
0.01,0.9400000000000001,0.9408541591330232,1.0597822177049154,0.43936248124096366
0.01,0.9500000000000001,0.9345191373548964,1.066976561036535,0.44943049432640897
0.01,0.96,0.9277348591530635,1.074804426456135,0.4595117426830151
0.01,0.97,0.9204954301557344,1.0832935387509908,0.4696076872378032
0.01,0.98,0.9127974467503186,1.0924701330875832,0.4797199006020607
0.01,0.99,0.9046400857832327,1.1023587640619872,0.48985007003822817
0.01,1.0,0.8960251564613344,1.1129821440517695,0.5
0.01999,0.0,1.1654102475980916,0.8533502392244151,-0.5
0.01999,0.01,1.1539383025752563,0.861813412344869,-0.48971314341990213
0.01999,0.02,1.1430652953578428,0.8699764587268936,-0.47945549121881564
0.01999,0.03,1.1327744500472707,0.8778368235597251,-0.4692251398640789
0.01999,0.04,1.1230486353354172,0.8853928642535076,-0.4590202743241726
0.01999,0.05,1.113870388273394,0.892643849671835,-0.4488391665194533
0.01999,0.06,1.1052219441425821,0.8995899526906319,-0.4386801736484547
0.01999,0.07,1.0970852718493318,0.9062322361995158,-0.42854173639348725
0.01999,0.08,1.0894421142128607,0.912572632742559,-0.41842237701049145
0.01999,0.09,1.0822740324734994,0.9186139180725504,-0.40832069730921067
0.01999,0.1,1.0755624543161928,0.9243596789651407,-0.39823537653079677
0.01999,0.11,1.0692887246824851,0.929814275705515,-0.38816516913087507
0.01999,0.12,1.063434158633308,0.9349827997194199,-0.3781089024769166
0.01999,0.13,1.057980095524694,0.9398710268716238,-0.36806547446945415
